2025-07-24T13:00:28.339149[I][tasks][Discover Miners]started
2025-07-24T13:00:49.520708[T][192.168.0.183][minerDiscoverer]no miner detected
2025-07-24T13:00:49.520728[T][exceptions]Miner not found
2025-07-24T13:00:49.522477[T][192.168.0.4][minerDiscoverer]no miner detected
2025-07-24T13:00:49.522504[T][exceptions]Miner not found
2025-07-24T13:00:49.522631[T][192.168.0.203][minerDiscoverer]no miner detected
2025-07-24T13:00:49.522642[T][exceptions]Miner not found
2025-07-24T13:00:49.522868[T][192.168.0.119][minerDiscoverer]no miner detected
2025-07-24T13:00:49.522957[T][exceptions]Miner not found
2025-07-24T13:00:49.524562[T][192.168.0.219][minerDiscoverer]no miner detected
2025-07-24T13:00:49.524601[T][exceptions]Miner not found
2025-07-24T13:00:49.524772[T][192.168.0.202][minerDiscoverer]no miner detected
2025-07-24T13:00:49.524853[T][exceptions]Miner not found
2025-07-24T13:00:49.524961[T][192.168.0.30][minerDiscoverer]no miner detected
2025-07-24T13:00:49.524983[T][exceptions]Miner not found
2025-07-24T13:00:49.525004[T][192.168.0.44][minerDiscoverer]no miner detected
2025-07-24T13:00:49.525010[T][exceptions]Miner not found
2025-07-24T13:00:49.525131[T][192.168.0.16][minerDiscoverer]no miner detected
2025-07-24T13:00:49.525146[T][exceptions]Miner not found
2025-07-24T13:00:49.525414[T][192.168.0.101][minerDiscoverer]no miner detected
2025-07-24T13:00:49.525428[T][exceptions]Miner not found
2025-07-24T13:00:49.525792[T][192.168.0.21][minerDiscoverer]no miner detected
2025-07-24T13:00:49.525811[T][exceptions]Miner not found
2025-07-24T13:00:49.525868[T][192.168.0.176][minerDiscoverer]no miner detected
2025-07-24T13:00:49.525881[T][exceptions]Miner not found
2025-07-24T13:00:49.525911[T][192.168.0.8][minerDiscoverer]no miner detected
2025-07-24T13:00:49.525917[T][exceptions]Miner not found
2025-07-24T13:00:49.526123[T][192.168.0.84][minerDiscoverer]no miner detected
2025-07-24T13:00:49.526138[T][exceptions]Miner not found
2025-07-24T13:00:49.526524[T][192.168.0.80][minerDiscoverer]no miner detected
2025-07-24T13:00:49.526541[T][exceptions]Miner not found
2025-07-24T13:00:49.526586[T][192.168.0.121][minerDiscoverer]no miner detected
2025-07-24T13:00:49.526590[T][exceptions]Miner not found
2025-07-24T13:00:49.526850[T][192.168.0.15][minerDiscoverer]no miner detected
2025-07-24T13:00:49.526868[T][exceptions]Miner not found
2025-07-24T13:00:49.527022[T][192.168.0.151][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527039[T][exceptions]Miner not found
2025-07-24T13:00:49.527072[T][192.168.0.159][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527078[T][exceptions]Miner not found
2025-07-24T13:00:49.527570[T][192.168.0.242][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527586[T][exceptions]Miner not found
2025-07-24T13:00:49.527684[T][192.168.0.120][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527702[T][exceptions]Miner not found
2025-07-24T13:00:49.527737[T][192.168.0.57][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527743[T][exceptions]Miner not found
2025-07-24T13:00:49.527759[T][192.168.0.17][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527763[T][exceptions]Miner not found
2025-07-24T13:00:49.527777[T][192.168.0.76][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527782[T][exceptions]Miner not found
2025-07-24T13:00:49.527799[T][192.168.0.142][minerDiscoverer]no miner detected
2025-07-24T13:00:49.527804[T][exceptions]Miner not found
2025-07-24T13:00:49.528042[T][192.168.0.78][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528249[T][exceptions]Miner not found
2025-07-24T13:00:49.528291[T][192.168.0.27][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528299[T][exceptions]Miner not found
2025-07-24T13:00:49.528316[T][192.168.0.5][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528322[T][exceptions]Miner not found
2025-07-24T13:00:49.528340[T][192.168.0.34][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528345[T][exceptions]Miner not found
2025-07-24T13:00:49.528358[T][192.168.0.239][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528363[T][exceptions]Miner not found
2025-07-24T13:00:49.528378[T][192.168.0.31][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528383[T][exceptions]Miner not found
2025-07-24T13:00:49.528395[T][192.168.0.131][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528399[T][exceptions]Miner not found
2025-07-24T13:00:49.528629[T][192.168.0.60][minerDiscoverer]no miner detected
2025-07-24T13:00:49.528650[T][exceptions]Miner not found
2025-07-24T13:00:49.528690[T][192.168.0.241][minerDiscoverer]no miner detected
